ZIPCode;Latitude;Longitude
146 71;38.09124;23.81911
142 31;38.04557;23.75436
142 32;38.03278;23.7499
142 33;38.03587;23.75882
142 34;38.04023;23.7618
142 35;38.03519;23.7737
152 36;38.06145;23.85939
171 21;37.94849;23.71122
171 22;37.94161;23.70824
171 23;37.93534;23.71419
171 24;37.94345;23.72312
143 41;38.04363;23.73425
143 42;38.04311;23.74246
143 43;38.02936;23.73312
154 51;38.00461;23.78389
175 61;37.92946;23.6889
175 62;37.92349;23.69932
175 63;37.92596;23.71122
175 64;37.93694;23.7008
156 69;37.98226;23.80493
152 36;38.04749;23.86536
121 31;38.00326;23.69485
121 32;38.0098;23.70527
121 33;38.01416;23.70824
121 34;38.01483;23.69337
121 35;38.0208;23.68295
121 36;38.0108;23.68295
121 37;38.02613;23.67551
132 31;38.03895;23.68796
151 21;38.05885;23.79154
145 65;38.30309;23.78734
177 78;37.24001;22.842
172 36;37.963;23.81667
172 37;37.963;23.81667
152 37;38.1589;23.65617
124 61;38.00676;23.6563
124 62;38.00676;23.6563
152 31;38.02226;23.80493
152 32;38.01822;23.80047
152 33;38.03223;23.79436
152 34;38.02604;23.83194
152 35;38.03774;23.83765
152 38;38.03489;23.84583
155 61;37.99963;23.79378
155 62;37.99413;23.80791
152 37;38.1589;23.65617
154 51;38.00579;23.78262
154 52;38.01176;23.77221
145 65;38.14744;23.86145
190 13;37.73221;23.94707
153 44;40.25;21.2
153 49;40.25;21.2
145 69;38.12876;23.8555
190 16;37.97134;23.99528
190 11;40.77706;21.30161
136 71;38.07182;23.74841
136 72;38.17108;23.73948
136 73;38.08465;23.74097
136 74;38.10002;23.72163
136 75;38.07064;23.73056
136 76;38.08432;23.73355
136 77;38.08432;23.73355
136 78;38.08432;23.73355
136 79;38.08432;23.73355
166 72;37.82561;23.80632
166 73;37.84713;23.76518
166 71;37.81275;23.77816
153 44;38.01208;23.8572
163 44;38.01208;23.8572
153 44;37.98459;23.84782
153 54;37.98459;23.84782
145 76;38.88167;23.09917
145 72;38.11124;23.8674
136 76;38.13047;23.75436
190 10;37.83941;23.92755
153 74;37.98459;23.84782
190 14;38.26006;23.88227
190 01;37.80795;23.97517
145 68;38.34772;21.58501
145 69;38.34772;21.58501
195 00;37.71496;24.05712
190 07;38.15984;23.97744
190 03;37.88019;23.97744
190 05;38.08317;23.97903
190 15;38.32179;23.79705
190 02;37.95661;23.8528
153 44;38.00473;23.88193
153 51;38.00473;23.88193
190 09;38.02164;24.00497
145 74;38.11647;23.87542
190 04;37.96724;23.91353
145 75;38.12511;23.88165
153 44;38.02763;23.86145
153 49;37.98462;23.84063
133 41;38.08071;23.70676
133 42;38.07332;23.67105
133 43;38.11508;23.69783
133 44;38.06826;23.69485
133 45;38.06826;23.69485
193 00;38.08163;23.59666
190 12;38.167;23.33758
192 00;38.04325;23.54211
190 08;38.22431;23.34663
194 00;37.90025;23.87239
196 00;38.07474;23.49717
191 00;38.0217;23.3109
190 06;40.84426;24.30239
189 03;37.92269;23.46766
180 10;37.74088;23.50142
189 02;37.95085;23.52889
186 48;37.94636;23.62216
187 55;37.95464;23.61749
187 56;37.96245;23.62195
187 57;37.96933;23.62493
187 58;37.97467;23.61749
181 20;37.98437;23.64946
181 21;37.98437;23.64946
181 22;37.98437;23.64946
801 00;36.27454;23.01643
180 30;37.58382;23.3853
184 50;37.96491;23.64576
184 51;37.97088;23.63534
184 52;38.06428;23.76031
184 53;37.97305;23.64278
184 54;37.97613;23.66361
185 51;37.96818;23.64354
189 01;37.9644;23.52777
185 31;37.94567;23.64501
185 32;37.94566;23.65097
185 33;37.94236;23.65766
185 34;37.93908;23.65245
185 35;37.94066;23.64501
185 36;37.93487;23.64576
185 37;37.93049;23.64278
185 38;37.93426;23.63683
185 39;37.92988;23.63386
185 40;37.95113;23.65171
185 41;37.95581;23.65915
185 42;37.96302;23.65468
185 43;37.9574;23.64576
185 44;37.95867;23.63981
185 45;37.95116;23.63981
185 46;37.95806;23.63088
185 47;37.94797;23.66659
188 63;39.69355;20.84559
180 20;37.55888;23.21562
802 00;36.30023;22.96071
189 00;37.92908;23.51333
180 50;37.2626;23.13224
180 40;37.32615;23.43594
811 02;39.23942;26.30133
811 01;39.1116;26.34856
815 00;39.51426;25.01101
811 03;39.2336;25.98035
811 05;39.17678;25.93268
811 00;39.15474;26.4902
811 07;39.23486;26.15958
811 04;39.30543;26.34856
811 08;39.17361;26.36667
814 01;39.90065;25.30746
814 00;39.87699;25.06263
811 00;39.05801;26.59814
811 06;39.0387;26.45693
811 11;39.69355;20.84559
811 09;40.99214;22.5729
812 00;38.97503;26.3685
813 00;39.06814;26.20684
833 00;37.62971;26.2659
833 02;37.6125;26.17139
832 00;37.79189;26.70433
